115,117	Take Me to the River	Al Green	1974
116,118	Shout (Parts 1 and 2)	The Isley Brothers	1959
117,119	Go Your Own Way	Fleetwood Mac	1977
118,120	I Want You Back	The Jackson 5	1969
119,121	Stand By Me	Ben E. King	1961
120,122	House of the Rising Sun	The Animals	1964
121,123	It's a Man's Man's Man's World	James Brown	1966
122,124	Jumpin' Jack Flash	The Rolling Stones	1968
123,125	Will You Love Me Tomorrow	The Shirelles	1960
124,"126	""Shake, Rattle and Roll""	Big Joe Turner	1954"
125,127	Changes	David Bowie	1971
126,128	Rock & Roll Music	Chuck Berry	1957
127,129	Born To Be Wild	Steppenwolf	1968
128,130	Maggie May	Rod Stewart	1971
129,131	With or Without You	U2	1987
130,132	Who Do You Love	Bo Diddley	1957
131,133	Won't Get Fooled Again	The Who	1971
132,134	In The Midnight Hour	Wilson Pickett	1965
133,135	While My Guitar Gently Weeps	The Beatles	1968
134,136	Your Song	Elton John	1970
135,137	Eleanor Rigby	The Beatles	1966
136,138	Family Affair	Sly and the Family Stone	1971
137,139	I Saw Her Standing There	The Beatles	1964
138,140	Kashmir	Led Zeppelin	1975
139,141	All I Have to Do Is Dream	The Everly Brothers	1958
140,"142	""Please, Please, Please""	James Brown	1956"
141,143	Purple Rain	Prince	1984
142,144	I Wanna Be Sedated	The Ramones	1978
143,145	Everyday People	Sly and the Family Stone	1968
144,146	Rock Lobster	The B-52's	1979
145,147	Lust for Life	Iggy Pop	1977
146,148	Me and Bobby McGee	Janis Joplin	1971
147,149	Cathy's Clown	The Everly Brothers	1960
148,150	Eight Miles High	The Byrds	1966
149,151	Earth Angel	The Penguins	1954
150,152	Foxey Lady	The Jimi Hendrix Experience	1965
151,153	A Hard Day's Night	The Beatles	1964
152,154	Rave On	Buddy Holly and the Crickets	1958
153,155	Proud Mary	Creedence Clearwater Revival	1969
154,156	The Sounds of Silence	Simon and Garfunkel	1965
155,157	I Only Have Eyes for You	The Flamingos	1959
156,158	(We're Gonna) Rock Around the Clock	Bill Haley and His Com
157,159	I'm Waiting for the Man	The Velvet Underground	1967
158,160	Bring the Noise	Public Enemy	1988
159,161	I Can't Stop Loving You	Ray Charles	1962
